# PX4 Flight Data Log
# Test started: 2025-12-23 17:27:33
# Columns: time_s, phase, altitude_m, altitude_error_m, velocity_z_m_s, thrust, thrust_p, thrust_i, thrust_d, integral_error, roll_deg, pitch_deg, yaw_deg, yaw_rate_deg_s
#----------------------------------------------------------------------------------------------------
21.578, TAKEOFF, -0.3079, 3.3079, 1.3368, 0.782317, 0.132317, 0.000000, -0.000000, 0.150000, 0.00, 0.03, 96.11, -0.04
21.848, TAKEOFF, 0.9713, 2.0287, 2.5507, 0.731149, 0.081149, 0.000000, -0.000000, 0.150000, -0.04, 0.04, 96.12, -0.01
22.120, TAKEOFF, 1.1652, 1.8348, 2.6883, 0.723392, 0.073392, 0.000000, -0.000000, 0.150000, -0.04, 0.04, 96.13, 0.03
22.396, TAKEOFF, 2.9771, 0.0229, 3.7540, 0.650914, 0.000914, 0.000000, -0.000000, 0.150000, -0.04, 0.04, 96.13, 0.02
22.667, TAKEOFF, 3.2428, -0.2428, 3.8804, 0.640289, -0.009711, 0.000000, -0.000000, 0.084080, -0.04, 0.04, 96.13, -0.03
22.961, TAKEOFF, 4.1230, -1.1230, 4.2716, 0.605079, -0.044921, -0.000000, -0.000000, -0.150000, -0.04, 0.04, 96.13, -0.04
23.230, TAKEOFF, 4.4201, -1.4201, 4.3960, 0.593196, -0.056804, -0.000000, -0.000000, -0.150000, -0.04, 0.05, 96.13, 0.05
23.498, TAKEOFF, 6.8238, -3.8238, 5.1649, 0.497047, -0.152953, -0.000000, -0.000000, -0.150000, -0.01, 0.03, 96.12, 0.02
23.768, TAKEOFF, 7.1725, -4.1725, 5.2488, 0.483098, -0.166902, -0.000000, -0.000000, -0.150000, -0.01, 0.03, 96.12, -0.03
24.045, TAKEOFF, 7.5260, -4.5260, 5.3296, 0.468958, -0.181042, -0.000000, -0.000000, -0.150000, 0.02, 0.05, 96.07, -0.00
24.354, TAKEOFF, 10.2131, -7.2131, 5.5632, 0.361478, -0.288522, -0.000000, -0.000000, -0.150000, 0.02, 0.05, 96.07, -0.00
24.636, TAKEOFF, 14.2632, -11.2632, 4.6222, 0.300000, -0.450526, -0.000000, -0.000000, -0.150000, 0.02, 0.05, 96.03, 0.01
24.916, TAKEOFF, 14.5511, -11.5511, 4.4819, 0.300000, -0.462043, -0.000000, -0.000000, -0.150000, 0.03, 0.05, 96.03, -0.05
25.194, TAKEOFF, 16.4044, -13.4044, 3.1546, 0.300000, -0.536176, -0.000000, -0.000000, -0.150000, 0.03, 0.04, 96.00, -0.03
25.489, TAKEOFF, 16.6113, -13.6113, 2.8573, 0.300000, -0.544453, -0.000000, -0.000000, -0.150000, 0.03, 0.04, 95.99, 0.01
25.767, TAKEOFF, 17.3562, -14.3562, 0.7273, 0.300000, -0.574247, -0.000000, -0.000000, -0.150000, 0.03, 0.04, 95.98, 0.05
26.046, TAKEOFF, 17.3764, -14.3764, 0.4165, 0.300000, -0.575055, -0.000000, -0.000000, -0.150000, 0.04, 0.04, 95.98, -0.04
26.328, TAKEOFF, 16.6738, -13.6738, -2.6468, 0.300000, -0.546951, -0.000000, 0.000000, -0.150000, 0.03, 0.04, 95.99, 0.03
26.611, TAKEOFF, 16.4673, -13.4673, -3.1000, 0.300000, -0.538692, -0.000000, 0.000000, -0.150000, 0.03, 0.04, 95.99, -0.01
26.911, TAKEOFF, 14.0143, -11.0143, -6.5224, 0.300000, -0.440571, -0.000000, 0.000000, -0.150000, 0.02, 0.00, 95.98, 0.01
27.193, TAKEOFF, 13.5554, -10.5554, -6.9871, 0.300000, -0.422216, -0.000000, 0.000000, -0.150000, 0.02, -0.00, 95.98, 0.01
27.476, TAKEOFF, 8.9035, -5.9035, -10.6436, 0.413862, -0.236138, -0.000000, 0.000000, -0.150000, 0.03, -0.02, 95.98, -0.01
27.761, TAKEOFF, 8.1808, -5.1808, -11.1077, 0.442767, -0.207233, -0.000000, 0.000000, -0.150000, 0.03, -0.03, 95.98, -0.05
28.061, TAKEOFF, 1.5786, 1.4214, -14.7015, 0.706856, 0.056856, 0.000000, 0.000000, 0.150000, 0.05, -0.04, 95.97, -0.06
28.344, TAKEOFF, 0.4742, 2.5258, -15.2221, 0.751033, 0.101033, 0.000000, 0.000000, 0.150000, 0.05, -0.05, 95.97, 0.02
28.628, TAKEOFF, -1.4293, 4.4293, -0.3902, 0.827172, 0.177172, 0.000000, 0.000000, 0.150000, 0.03, -0.03, 95.93, 0.03
28.923, TAKEOFF, -1.4309, 4.4309, -0.3835, 0.827235, 0.177235, 0.000000, 0.000000, 0.150000, 0.02, -0.03, 95.92, -0.01
29.216, TAKEOFF, -1.3422, 4.3422, -0.3136, 0.823688, 0.173688, 0.000000, 0.000000, 0.150000, 0.02, -0.03, 95.91, 0.01
29.529, TAKEOFF, -1.3228, 4.3228, -0.3029, 0.822914, 0.172914, 0.000000, 0.000000, 0.150000, 0.02, -0.03, 95.91, -0.06
29.820, TAKEOFF, -1.1815, 4.1815, -0.2346, 0.817260, 0.167260, 0.000000, 0.000000, 0.150000, 0.03, -0.03, 95.92, 0.00
30.112, TAKEOFF, -1.1610, 4.1610, -0.2257, 0.816440, 0.166440, 0.000000, 0.000000, 0.150000, 0.03, -0.03, 95.92, 0.01
30.402, TAKEOFF, -1.0046, 4.0046, 0.0028, 0.810185, 0.160185, 0.000000, -0.000000, 0.150000, 0.02, -0.00, 95.93, 0.02
30.712, TAKEOFF, -0.9717, 3.9717, 0.1514, 0.808866, 0.158866, 0.000000, -0.000000, 0.150000, 0.02, 0.00, 95.93, 0.02
31.000, TAKEOFF, -0.7576, 3.7576, 0.7211, 0.800303, 0.150303, 0.000000, -0.000000, 0.150000, 0.02, 0.03, 95.93, -0.02
31.296, TAKEOFF, 0.2824, 2.7176, 2.0349, 0.758703, 0.108703, 0.000000, -0.000000, 0.150000, 0.04, 0.05, 95.93, -0.04
31.595, TAKEOFF, 0.4665, 2.5335, 2.1994, 0.751338, 0.101338, 0.000000, -0.000000, 0.150000, 0.04, 0.06, 95.93, 0.02
31.909, TAKEOFF, 2.1498, 0.8502, 3.3601, 0.684007, 0.034007, 0.000000, -0.000000, 0.150000, 0.05, 0.08, 95.93, -0.02
32.202, TAKEOFF, 2.4236, 0.5764, 3.5116, 0.673057, 0.023057, 0.000000, -0.000000, 0.150000, 0.05, 0.08, 95.93, 0.02
32.495, TAKEOFF, 4.7379, -1.7379, 4.5717, 0.580483, -0.069517, -0.000000, -0.000000, -0.150000, 0.03, 0.09, 95.96, -0.02
32.783, TAKEOFF, 5.0938, -2.0938, 4.7092, 0.566247, -0.083753, -0.000000, -0.000000, -0.150000, 0.03, 0.09, 95.96, -0.01
33.096, TAKEOFF, 7.7833, -4.7833, 5.5892, 0.458668, -0.191332, -0.000000, -0.000000, -0.150000, 0.03, 0.09, 95.99, -0.03
33.384, TAKEOFF, 8.2043, -5.2043, 5.6632, 0.441827, -0.208173, -0.000000, -0.000000, -0.150000, 0.02, 0.09, 95.99, -0.02
33.688, TAKEOFF, 11.3713, -8.3713, 5.9890, 0.315149, -0.334851, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.97, 0.05
33.986, TAKEOFF, 11.8107, -8.8107, 5.9721, 0.300000, -0.352428, -0.000000, -0.000000, -0.150000, 0.03, 0.08, 95.97, -0.05
34.299, TAKEOFF, 14.8582, -11.8582, 5.4120, 0.300000, -0.474328, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.96, -0.02
34.594, TAKEOFF, 15.2422, -12.2422, 5.2323, 0.300000, -0.489688, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.96, 0.00
34.893, TAKEOFF, 17.5330, -14.5330, 3.5696, 0.300000, -0.581320, -0.000000, -0.000000, -0.150000, 0.03, 0.08, 95.99, -0.03
35.191, TAKEOFF, 17.7672, -14.7672, 3.2392, 0.300000, -0.590690, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.99, -0.01
35.508, TAKEOFF, 18.6282, -15.6282, 0.4712, 0.300000, -0.625128, -0.000000, -0.000000, -0.150000, 0.05, 0.06, 95.98, 0.04
35.803, TAKEOFF, 18.6223, -15.6223, -0.0141, 0.300000, -0.624893, -0.000000, 0.000000, -0.150000, 0.05, 0.07, 95.98, 0.01
36.098, TAKEOFF, 17.4201, -14.4201, -3.8034, 0.300000, -0.576805, -0.000000, 0.000000, -0.150000, 0.05, 0.03, 95.97, -0.05
36.396, TAKEOFF, 17.0968, -14.0968, -4.3270, 0.300000, -0.563870, -0.000000, 0.000000, -0.150000, 0.04, 0.02, 95.97, 0.02
36.712, TAKEOFF, 13.5619, -10.5619, -8.1676, 0.300000, -0.422478, -0.000000, 0.000000, -0.150000, 0.03, 0.00, 95.98, 0.00
37.014, TAKEOFF, 12.9238, -9.9238, -8.6903, 0.300000, -0.396952, -0.000000, 0.000000, -0.150000, 0.03, -0.00, 95.98, -0.04
37.311, TAKEOFF, 6.6868, -3.6868, -12.7511, 0.502527, -0.147473, -0.000000, 0.000000, -0.150000, 0.03, -0.01, 96.00, 0.04
37.612, TAKEOFF, 5.7218, -2.7218, -13.2724, 0.541127, -0.108873, -0.000000, 0.000000, -0.150000, 0.03, -0.01, 96.01, -0.01
37.928, TAKEOFF, -1.4368, 4.4368, -0.4107, 0.827473, 0.177473, 0.000000, 0.000000, 0.150000, 0.03, -0.01, 96.01, 0.04
38.228, TAKEOFF, -1.4864, 4.4864, -0.4189, 0.829457, 0.179457, 0.000000, 0.000000, 0.150000, 0.03, -0.01, 96.01, 0.01
38.539, TAKEOFF, -1.5530, 4.5530, -0.3848, 0.832118, 0.182118, 0.000000, 0.000000, 0.150000, 0.01, -0.01, 95.95, -0.03
38.845, TAKEOFF, -1.5395, 4.5395, -0.3742, 0.831579, 0.181579, 0.000000, 0.000000, 0.150000, 0.01, -0.02, 95.94, -0.00
39.170, TAKEOFF, -1.4832, 4.4832, -0.3390, 0.829330, 0.179330, 0.000000, 0.000000, 0.150000, 0.00, -0.02, 95.92, -0.03
39.477, TAKEOFF, -1.4656, 4.4656, -0.3294, 0.828622, 0.178622, 0.000000, 0.000000, 0.150000, 0.00, -0.02, 95.93, 0.03
39.792, TAKEOFF, -1.3082, 4.3082, -0.2532, 0.822326, 0.172326, 0.000000, 0.000000, 0.150000, -0.01, -0.02, 95.91, -0.05
40.098, TAKEOFF, -1.2897, 4.2897, -0.2450, 0.821588, 0.171588, 0.000000, 0.000000, 0.150000, -0.01, -0.02, 95.91, 0.00
40.426, TAKEOFF, -1.0329, 4.0329, 0.4876, 0.811315, 0.161315, 0.000000, -0.000000, 0.150000, -0.02, 0.02, 95.92, -0.03
40.733, TAKEOFF, -0.9632, 3.9632, 0.6442, 0.808528, 0.158528, 0.000000, -0.000000, 0.150000, -0.01, 0.02, 95.93, -0.05
41.046, TAKEOFF, 0.0188, 2.9812, 1.9799, 0.769248, 0.119248, 0.000000, -0.000000, 0.150000, 0.00, 0.06, 95.92, -0.03
41.329, TAKEOFF, 0.1836, 2.8164, 2.1406, 0.762656, 0.112656, 0.000000, -0.000000, 0.150000, 0.01, 0.06, 95.92, 0.04
41.629, TAKEOFF, 2.0694, 0.9306, 3.5414, 0.687224, 0.037224, 0.000000, -0.000000, 0.150000, 0.02, 0.04, 95.92, -0.02
41.912, TAKEOFF, 2.3289, 0.6711, 3.6957, 0.676842, 0.026842, 0.000000, -0.000000, 0.150000, 0.01, 0.04, 95.92, 0.02
42.204, TAKEOFF, 6.7491, -3.7491, 5.6784, 0.500037, -0.149963, -0.000000, -0.000000, -0.150000, 0.01, 0.06, 95.87, 0.02
42.479, TAKEOFF, 7.1362, -4.1362, 5.8103, 0.484551, -0.165449, -0.000000, -0.000000, -0.150000, 0.01, 0.06, 95.86, -0.04
42.773, TAKEOFF, 7.5312, -4.5312, 5.9359, 0.468752, -0.181248, -0.000000, -0.000000, -0.150000, 0.03, 0.08, 95.82, -0.03
43.047, TAKEOFF, 11.1265, -8.1265, 6.9365, 0.324939, -0.325061, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.81, -0.03
43.325, TAKEOFF, 11.5868, -8.5868, 7.0021, 0.306527, -0.343473, -0.000000, -0.000000, -0.150000, 0.03, 0.07, 95.80, -0.01
43.599, TAKEOFF, 15.3139, -12.3139, 7.4095, 0.300000, -0.492556, -0.000000, -0.000000, -0.150000, 0.01, 0.07, 95.79, 0.01
43.877, TAKEOFF, 15.7950, -12.7950, 7.3663, 0.300000, -0.511799, -0.000000, -0.000000, -0.150000, 0.01, 0.07, 95.80, -0.01
44.177, TAKEOFF, 19.1929, -16.1929, 6.8933, 0.300000, -0.647718, -0.000000, -0.000000, -0.150000, -0.00, 0.07, 95.80, 0.03
